Student ID,Semester,CGPA,Study Hours,Required Study Hours,Pass/Fail
1,Sem 1,6.18,3.09,4.91,Pass
2,Sem 2,5.35,2.67,5.33,Pass
3,Sem 1,8.51,4.25,3.75,Pass
4,Sem 1,2.65,1.32,6.0,Fail
5,Sem 2,5.98,2.99,5.01,Pass
6,Sem 1,6.96,3.48,4.52,Pass
7,Sem 1,5.86,2.93,5.07,Pass
8,Sem 1,6.95,3.48,4.53,Pass
9,Sem 2,6.28,3.14,4.86,Pass
10,Sem 2,5.53,2.77,5.23,Pass
11,Sem 2,5.89,2.94,5.05,Pass
12,Sem 2,3.77,1.89,6.0,Fail
13,Sem 1,2.54,1.27,6.0,Fail
14,Sem 1,7.66,3.83,4.17,Pass
15,Sem 2,6.74,3.37,4.63,Pass
16,Sem 1,4.1,2.05,5.95,Pass
17,Sem 1,6.47,3.23,4.77,Pass
18,Sem 2,4.79,2.4,5.61,Pass
19,Sem 1,2.33,1.17,6.0,Fail
20,Sem 2,6.46,3.23,4.77,Pass
21,Sem 1,2.16,1.08,6.0,Fail
22,Sem 2,4.55,2.27,5.72,Pass
23,Sem 2,7.91,3.96,4.04,Pass
24,Sem 2,8.71,4.36,3.64,Pass
25,Sem 1,3.59,1.79,6.0,Fail
26,Sem 1,8.18,4.09,3.91,Pass
27,Sem 2,8.07,4.04,3.96,Pass
28,Sem 2,5.6,2.8,5.2,Pass
29,Sem 1,2.09,1.04,6.0,Fail
30,Sem 1,8.82,4.41,3.59,Pass
31,Sem 2,6.82,3.41,4.59,Pass
32,Sem 2,4.97,2.48,5.52,Pass
33,Sem 2,5.53,2.77,5.23,Pass
34,Sem 2,5.82,2.91,5.09,Pass
35,Sem 1,6.42,3.21,4.79,Pass
36,Sem 1,7.87,3.94,4.06,Pass
37,Sem 1,2.2,1.1,6.0,Fail
38,Sem 1,8.84,4.42,3.58,Pass
39,Sem 2,4.42,2.21,5.79,Pass
40,Sem 2,5.5,2.75,5.25,Pass
41,Sem 2,2.41,1.21,6.0,Fail
42,Sem 2,4.52,2.26,5.74,Pass
43,Sem 2,7.88,3.94,4.06,Pass
44,Sem 2,4.35,2.17,5.83,Pass
45,Sem 2,6.12,3.06,4.94,Pass
46,Sem 2,4.54,2.27,5.73,Pass
47,Sem 2,5.0,2.5,5.5,Pass
48,Sem 1,4.61,2.31,5.7,Pass
49,Sem 1,6.47,3.23,4.77,Pass
50,Sem 2,8.68,4.34,3.66,Pass
51,Sem 1,6.09,3.04,4.96,Pass
52,Sem 1,8.52,4.26,3.74,Pass
53,Sem 1,7.09,3.54,4.46,Pass
54,Sem 2,4.44,2.22,5.78,Pass
55,Sem 1,5.02,2.51,5.49,Pass
56,Sem 2,5.03,2.52,5.48,Pass
57,Sem 1,4.15,2.08,5.92,Pass
58,Sem 2,8.37,4.18,3.82,Pass
59,Sem 2,8.31,4.16,3.84,Pass
60,Sem 2,4.12,2.06,5.94,Pass
61,Sem 2,5.35,2.67,5.33,Pass
62,Sem 1,6.56,3.28,4.72,Pass
63,Sem 2,4.24,2.12,5.88,Pass
64,Sem 1,6.05,3.02,4.97,Pass
65,Sem 1,5.15,2.58,5.42,Pass
66,Sem 2,3.79,1.9,6.0,Fail
67,Sem 1,8.82,4.41,3.59,Pass
68,Sem 1,2.05,1.02,6.0,Fail
69,Sem 1,8.03,4.01,3.99,Pass
70,Sem 1,5.44,2.72,5.28,Pass
71,Sem 2,2.84,1.42,6.0,Fail
72,Sem 2,4.63,2.31,5.69,Pass
73,Sem 2,7.87,3.94,4.06,Pass
74,Sem 2,3.59,1.79,6.0,Fail
75,Sem 1,2.99,1.5,6.0,Fail
76,Sem 1,3.43,1.72,6.0,Fail
77,Sem 2,2.57,1.28,6.0,Fail
78,Sem 2,8.65,4.33,3.67,Pass
79,Sem 1,9.38,4.69,3.31,Pass
80,Sem 2,2.27,1.14,6.0,Fail
81,Sem 2,8.31,4.16,3.84,Pass
82,Sem 1,8.12,4.06,3.94,Pass
83,Sem 1,4.7,2.35,5.65,Pass
84,Sem 1,4.92,2.46,5.54,Pass
85,Sem 1,5.95,2.98,5.03,Pass
86,Sem 2,8.0,4.0,4.0,Pass
87,Sem 2,5.39,2.69,5.3,Pass
88,Sem 2,2.67,1.33,6.0,Fail
89,Sem 2,8.35,4.17,3.83,Pass
90,Sem 1,7.86,3.93,4.07,Pass
91,Sem 2,2.61,1.3,6.0,Fail
92,Sem 1,6.82,3.41,4.59,Pass
93,Sem 1,6.34,3.17,4.83,Pass
94,Sem 2,2.8,1.4,6.0,Fail
95,Sem 1,8.48,4.24,3.76,Pass
96,Sem 1,7.72,3.86,4.14,Pass
97,Sem 2,4.93,2.46,5.54,Pass
98,Sem 2,4.27,2.13,5.87,Pass
99,Sem 1,9.38,4.69,3.31,Pass
100,Sem 1,2.73,1.36,6.0,Fail
